Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time,__filename,method,eval,pearson
0.0,99.2,0.3689,1.2743,0.5543,0.2721,1.0381,0.1015,0.1429,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.5.csv,DAC,0.5,0.5
0.0,106.4,0.3691,1.2717,0.5547,0.2721,1.0381,0.1044,0.1421,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.6.csv,DAC,0.5,0.6
0.0,113.6,0.3693,1.2691,0.555,0.2721,1.0381,0.1071,0.1423,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.7.csv,DAC,0.5,0.7
0.0,90.6,0.3689,1.2748,0.5543,0.2721,1.0381,0.0952,0.1382,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.8.csv,DAC,0.5,0.8
0.0,117.6,0.3692,1.2713,0.5548,0.2721,1.0381,0.1025,0.1327,pearson_Labsensor_10_SAGE++DAC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.9.csv,DAC,0.5,0.9
0.0,88.6,0.3551,1.189,0.5437,0.5312,2.0264,0.1197,0.2402,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.1.csv,DAMC,0.1,0.1
0.0,81.2,0.3544,1.187,0.5426,0.5312,2.0264,0.1166,0.2485,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.2.csv,DAMC,0.1,0.2
0.0,90.6,0.3543,1.1862,0.5424,0.5312,2.0264,0.1276,0.2494,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.3.csv,DAMC,0.1,0.3
0.0,97.4,0.3545,1.1932,0.5428,0.5312,2.0264,0.1339,0.2471,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.4.csv,DAMC,0.1,0.4
0.0,80.2,0.3544,1.1881,0.5427,0.5312,2.0264,0.1205,0.2577,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.5.csv,DAMC,0.1,0.5
0.0,93.0,0.3545,1.186,0.5428,0.5312,2.0264,0.1273,0.2433,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.6.csv,DAMC,0.1,0.6
0.0,73.6,0.352,1.1911,0.5389,0.5312,2.0264,0.1061,0.2437,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.7.csv,DAMC,0.1,0.7
0.0,70.8,0.3527,1.1936,0.54,0.5312,2.0264,0.1019,0.2408,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.8.csv,DAMC,0.1,0.8
0.0,62.8,0.3548,1.1888,0.5431,0.5312,2.0264,0.0938,0.2411,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.9.csv,DAMC,0.1,0.9
0.0,88.8,0.3674,1.2733,0.5533,0.5312,2.0264,0.1368,0.2551,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.1.csv,DAMC,0.3,0.1
0.0,95.8,0.3647,1.2772,0.5491,0.5312,2.0264,0.1456,0.2579,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.2.csv,DAMC,0.3,0.2
0.0,106.6,0.368,1.2733,0.5541,0.5312,2.0264,0.1609,0.2623,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.3.csv,DAMC,0.3,0.3
0.0,124.0,0.3659,1.271,0.5509,0.5312,2.0264,0.1782,0.2604,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.4.csv,DAMC,0.3,0.4
0.0,106.0,0.3682,1.27,0.5544,0.5312,2.0264,0.1578,0.2604,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.5.csv,DAMC,0.3,0.5
0.0,108.2,0.3702,1.2689,0.5574,0.5312,2.0264,0.1602,0.2605,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.6.csv,DAMC,0.3,0.6
0.0,105.4,0.3683,1.2708,0.5546,0.5312,2.0264,0.1575,0.2611,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.7.csv,DAMC,0.3,0.7
0.0,106.2,0.3633,1.275,0.547,0.5312,2.0264,0.1618,0.2644,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.8.csv,DAMC,0.3,0.8
0.0,124.2,0.3632,1.2749,0.5469,0.5312,2.0264,0.1785,0.2614,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.9.csv,DAMC,0.3,0.9
0.0,112.6,0.3639,1.2679,0.5469,0.5312,2.0264,0.1854,0.281,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.1.csv,DAMC,0.5,0.1
0.0,69.4,0.366,1.2704,0.5501,0.5312,2.0264,0.1383,0.2811,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.2.csv,DAMC,0.5,0.2
0.0,95.0,0.3678,1.2647,0.5528,0.5312,2.0264,0.1657,0.2798,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.3.csv,DAMC,0.5,0.3
0.0,123.0,0.3676,1.2628,0.5526,0.5312,2.0264,0.1991,0.283,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.4.csv,DAMC,0.5,0.4
0.0,116.0,0.3671,1.2644,0.5517,0.5312,2.0264,0.1895,0.2808,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.5.csv,DAMC,0.5,0.5
0.0,102.0,0.3658,1.2651,0.5498,0.5312,2.0264,0.1734,0.2805,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.6.csv,DAMC,0.5,0.6
0.0,133.8,0.3664,1.264,0.5507,0.5312,2.0264,0.2117,0.2836,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.7.csv,DAMC,0.5,0.7
0.0,70.6,0.3676,1.2685,0.5524,0.5312,2.0264,0.1392,0.2805,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.8.csv,DAMC,0.5,0.8
0.0,94.6,0.3643,1.2673,0.5475,0.5312,2.0264,0.1654,0.2804,pearson_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.9.csv,DAMC,0.5,0.9
0.0,71.0,0.3487,1.1976,0.5339,0.5312,2.0264,0.3945,1.011,pearson_old_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.1_pearson_0.4.csv,DAMC,0.1,0.4
0.0,70.2,0.3661,1.2761,0.5513,0.5312,2.0264,0.4051,0.9783,pearson_old_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.3_pearson_0.4.csv,DAMC,0.3,0.4
0.0,130.4,0.3691,1.2591,0.5547,0.5312,2.0264,0.7288,0.9572,pearson_old_Labsensor_10_SAGE++DAMC_incre_alone_window_30_epoch_200_eval_0.5_pearson_0.4.csv,DAMC,0.5,0.4
